url,title,authors,abstract,keywords,tldr,pdf_url,type
https://openreview.net/forum?id=6VldeCDKpH,Mixture of Experts Enable Efficient and Effective Protein Understanding and Design,"['Ning Sun', 'Shuxian Zou', 'Tianhua Tao', 'Sazan Mahbub', 'Dian Li', 'Yonghao Zhuang', 'Hongyi Wang', 'Xingyi Cheng', 'Le Song', 'Eric P. Xing']","Proteins play a fundamental role in life. Understanding the language of proteins
offers significant potential for gaining mechanistic insights into biological sys-
tems and introduces new avenues for treating diseases, enhancing agriculture, and
safeguarding the environment. While large protein language models (PLMs) like
ESM2-15B and xTrimoPGLM-100B have achieved remarkable performance in di-
verse protein understanding and design tasks, these models, being dense transformer
models, pose challenges due to their computational inefficiency during training
and deployment. In this work, we introduce AIDO.Protein, a pretrained module
for protein representation in an AI-driven Digital Organism [1 ]. AIDO.Protein is
also the first mixture-of-experts (MoE) model in the protein domain, with model
size scales to 16 billion parameters. Leveraging a sparse MoE architecture with
8 experts within each transformer block and selectively activating 2 experts for
each input token, our model is significantly more efficient in training and inference.
Through pre-training on 1.2 trillion amino acids collected from UniRef90 and
ColabfoldDB, our model achieves state-of-the-art results across most tasks in the
xTrimoPGLM benchmark. Furthermore, on over 280 ProteinGym Deep Mutational
Scanning (DMS) assays, our model achieves nearly 99% of the overall performance
of the best MSA-based model and significantly outperforms the previously reported
state-of-the-art models that do not utilize MSA. We also adapted this model for
structure-conditioned protein sequence generation tasks and achieved new SOTA
in this domain. These results indicate that AIDO.Protein can serve as a strong
foundation model for protein understanding and design. Models and codes are
available through ModelGenerator in https://github.com/genbio-ai/AIDO
and on Hugging Face.","['Protein Foundation Model', 'Sparse Experts Model', 'Protein Property Prediction', 'Protein Generation']",,https://openreview.net/pdf?id=6VldeCDKpH,spotlight
https://openreview.net/forum?id=MfphfLFhD4,Bridging the Gap between Database Search and \emph{De Novo} Peptide Sequencing with SearchNovo,"['Jun Xia', 'Sizhe Liu', 'Jingbo Zhou', 'Shaorong Chen', 'hongxin xiang', 'Zicheng Liu', 'Yue Liu', 'Stan Z. Li']","Accurate protein identification from mass spectrometry (MS) data is fundamental to unraveling the complex roles of proteins in biological systems, with peptide sequencing being a pivotal step in this process. The two main paradigms for peptide sequencing are database search, which matches experimental spectra with peptide sequences from databases, and \emph{de novo} sequencing, which infers peptide sequences directly from MS without relying on pre-constructed database. Although database search methods are highly accurate, they are limited by their inability to identify novel, modified, or mutated peptides absent from the database. In contrast, \emph{de novo} sequencing is adept at discovering novel peptides but often struggles with missing peaks issue, further leading to lower precision. We introduce SearchNovo, a novel framework that synergistically integrates the strengths of database search and \emph{de novo} sequencing to enhance peptide sequencing. SearchNovo employs an efficient search mechanism to retrieve the most similar peptide spectrum match (PSM) from a database for each query spectrum, followed by a fusion module that utilizes the reference peptide sequence to guide the generation of the target sequence. Furthermore, we observed that dissimilar (noisy) reference peptides negatively affect model performance. To mitigate this, we constructed pseudo reference PSMs to minimize their impact. Comprehensive evaluations on multiple datasets reveal that SearchNovo significantly outperforms state-of-the-art models. Also, analysis indicates that many retrieved spectra contain missing peaks absent in the query spectra, and the retrieved reference peptides often share common fragments with the target peptides. These are key elements in the recipe for SearchNovo’s success. The code for reproducing the results are available in the supplementary materials.",['Peptide Sequencing'],,https://openreview.net/pdf?id=MfphfLFhD4,spotlight
https://openreview.net/forum?id=SzfRVq8X07,LLMs are Highly-Constrained Biophysical Sequence Optimizers,"['Angelica Chen', 'Samuel Don Stanton', 'Robert G Alberstein', 'Andrew Martin Watkins', 'Richard Bonneau', 'Vladimir Gligorijevic', 'Kyunghyun Cho', 'Nathan C. Frey']","Large language models (LLMs) have recently shown significant potential in various biological tasks such as protein engineering and molecule design. These tasks typically involve black-box discrete sequence optimization, where the challenge lies in generating sequences that are not only biologically feasible but also adhere to hard fine-grained constraints. However, LLMs often struggle with such constraints, especially in biological contexts where verifying candidate solutions is costly and time-consuming. In this study, we explore the possibility of employing LLMs as *highly-constrained bilevel optimizers* through a methodology we refer to as Language Model Optimization with Margin Expectation (LLOME). This approach combines both offline and online optimization, utilizing limited oracle evaluations to iteratively enhance the sequences generated by the LLM. We additionally propose a novel training objective -- Margin-Aligned Expectation (MargE) -- that trains the LLM to smoothly interpolate between the reward and reference distributions.
Lastly, we introduce a synthetic test suite that bears strong geometric similarity to real biophysical problems and enables rapid evaluation of LLM optimizers without time-consuming lab validation. Our findings reveal that, in comparison to genetic algorithm baselines, LLMs achieve significantly lower regret solutions while requiring fewer test function evaluations. However, we also observe that LLMs exhibit moderate miscalibration, are susceptible to generator collapse, and have difficulty finding the optimal solution when no explicit ground truth rewards are available.","['large language models', 'optimizers', 'biophysical sequence optimization']",,https://openreview.net/pdf?id=SzfRVq8X07,spotlight
https://openreview.net/forum?id=D8wVEAKFRA,DeepADAR: A deep learning approach to model regulatory elements of ADAR-based RNA editing and its application to gRNA design,"['Andrew J Jung', 'ALICE J. GAO', 'Leo J Lee', 'Brendan Frey']","RNA editing is an important post-transcriptional modification which increases transcriptomic diversity and regulates other cellular processes. In humans, the predominant form of RNA editing is adenosine-to-inosine (A-to-I) conversion, mediated by adenosine deaminases acting on RNA (ADAR) enzymes. Recently, RNA therapeutics leveraging endogenous ADAR to induce site-specific editing have emerged as promising approaches for correcting disease causing mutations and modulating gene expression. However, the precise mechanisms by which cis-regulatory elements control ADAR editing are highly complex and remain largely unknown. With improvements in methods for ADAR editing detection and quantification, a data-driven approach utilizing large-scale RNA-seq data from the existing literature has emerged as a promising strategy for modeling and understanding the general regulatory elements of ADAR editing. Here, we present DeepADAR, a deep learning model that learns regulatory elements of ADAR editing by training on a large number of high-confidence ADAR editing sites supported by RNA-seq data. DeepADAR not only achieves strong performance on predicting editing sites in held-out test data, but also successfully distinguishes sites with varying editing efficiencies in CRISPR mutagenesis experiments and RNA-editing quantitative trait loci (QTLs). Furthermore, we demonstrate how the endogenous regulatory elements of ADAR editing learned by DeepADAR can be utilized to predict ADAR editing induced by guide RNAs (gRNAs) in a zero-shot setting. Notably, DeepADAR can predict both on-target and off-target editing induced by gRNAs, demonstrating its potential utility in RNA therapeutics design","['RNA editing', 'RNA therapeutics', 'drug design', 'deep learning for RNA biology', 'RNA']",,https://openreview.net/pdf?id=D8wVEAKFRA,spotlight
https://openreview.net/forum?id=BMiHsF6YOd,Bayesian Optimization of Antibodies Informed by a Generative Model of Evolving Sequences,"['Alan Nawzad Amin', 'Nate Gruver', 'Yucen Lily Li', 'Yilun Kuang', 'Hunter Elliott', 'Calvin McCarter', 'Aniruddh Raghu', 'Peyton Greenside', 'Andrew Gordon Wilson']","To build effective therapeutics, biologists iteratively mutate antibody sequences to improve binding and stability. Proposed mutations can be informed by previous measurements or by learning from large antibody databases to predict only typical antibodies. Unfortunately, the space of typical antibodies is enormous to search, and experiments often fail to find suitable antibodies on a budget. Here we introduce Clone-informed Bayesian Optimization (CloneBO), a Bayesian optimization procedure that efficiently optimizes antibodies in the lab by teaching a generative model how our immune system optimizes antibodies. Our immune system makes antibodies by iteratively evolving specific portions of their sequences to bind their target strongly and stably, resulting in a set of related, evolving sequences known as a clonal family. We train a large language model, CloneLM, on hundreds of thousands of clonal families and use it to design sequences with mutations that are most likely to optimize an antibody within the human immune system. We guide our designs to fit previous measurements using a twisted sequential Monte Carlo procedure. We show that CloneBO optimizes antibodies substantially more efficiently than previous methods in realistic in silico experiments and designs stronger and more stable binders in in vitro wet lab experiments.",['Antibodies + generative models + Bayesian optimization + foundation model'],,https://openreview.net/pdf?id=BMiHsF6YOd,spotlight
https://openreview.net/forum?id=ltMdWRc7A9,Leveraging Disease-Specific Topologies and Counterfactual Relationships in Knowledge Graphs for Inductive Reasoning in Drug Repurposing,"['Cerag Oguztuzun', 'Zhenxiang Gao', 'Hui Li', 'Rong Xu']","Drug repurposing offers a cost-effective strategy to accelerate drug development by identifying new therapeutic uses for approved medications. However, it poses significant challenges for complex diseases with poorly understood mechanisms of action. Addressing these diseases requires the efficient integration of new data while minimizing retraining time, prompting us to develop domain-specific graph augmentation techniques that support semi-inductive reasoning. We discovered that leveraging counterfactual relationships derived from disease-specific topological structures significantly enhances model performance. Based on this insight, we integrated counterfactual relationships as an augmentation method and an initialization step in our knowledge graph (KG) link prediction training process. We introduce KGïA, an inductive KG augmentation method that utilizes counterfactual relationships based on disease-specific topologies. By aligning augmentation with the intrinsic topological features of disease entities, KGïA enhances the KG in a domain-specific manner, facilitating the discovery of a broader range of novel drug candidates tailored to specific diseases. Our biomedical KG comprises 1,614,801 triples and 100,563 biomedical entities, including 30,006 diseases, constructed from 6 biomedical datasets and enriched through Natural Language Processing (NLP) relation extraction. Extensive experiments on this comprehensive KG using 5 augmented architectures demonstrate that semi-inductive reasoning significantly improves generalizability (up to a 24× increase in Mean Reciprocal Rank (MRR)) and that augmented models outperform state-of-the-art KG-based drug repurposing methods (up to a 32\% improvement in MRR). Additionally, in an Alzheimer's Disease (AD) case study, our model identified up to 5 mechanism categories compared to 2 in the baseline, highlighting its enhanced capability to uncover diverse drug candidates.","['drug repurposing', 'graph machine learning', 'knowledge graph', 'graph augmentation', 'inductive reasoning', 'foundation models', ""alzheimer's disease""]",,https://openreview.net/pdf?id=ltMdWRc7A9,spotlight
https://openreview.net/forum?id=Gzo3JMPY8w,A Large-Scale Foundation Model for RNA Function and Structure Prediction,"['Shuxian Zou', 'Tianhua Tao', 'Sazan Mahbub', 'Caleb Ellington', 'Robin Jonathan Algayres', 'Dian Li', 'Yonghao Zhuang', 'Hongyi Wang', 'Le Song', 'Eric P. Xing']","Originally marginalized as an intermediate in the information flow from DNA to
protein, RNA has become the star of modern biology, holding the key to precision
therapeutics, genetic engineering, evolutionary origins, and our understanding of
fundamental cellular processes. Yet RNA is as mysterious as it is prolific, serving
as an information store, a messenger, and a catalyst, spanning many undercharacterized
functional and structural classes. Deciphering the language of RNA is
important not only for a mechanistic understanding of its biological functions but
also for accelerating drug design. Toward this goal, we introduce AIDO.RNA, a
pre-trained module for RNA in an AI-driven Digital Organism [1]. AIDO.RNA
contains a scale of 1.6 billion parameters, trained on 42 million non-coding RNA
(ncRNA) sequences at single-nucleotide resolution, and it achieves state-of-theart
performance on a comprehensive set of tasks, including structure prediction,
genetic regulation, molecular function across species, and RNA sequence design.
AIDO.RNA after domain adaptation learns to model essential parts of protein translation
that protein language models, which have received widespread attention in
recent years, do not. More broadly, AIDO.RNA hints at the generality of biological
sequence modeling and the ability to leverage the central dogma to improve many
biomolecular representations. Models and code are available through ModelGenerator
in https://github.com/genbio-ai/AIDO and on Hugging Face.","['Foundation model', 'RNA', 'Drug design']",,https://openreview.net/pdf?id=Gzo3JMPY8w,spotlight
https://openreview.net/forum?id=1EJXtK3AWr,PerturBench: Benchmarking Machine Learning Models for Cellular Perturbation Analysis,"['Yan Wu', 'Esther Wershof', 'Sebastian M Schmon', 'Marcel Nassar', 'Błażej Osiński', 'Ridvan Eksi', 'Kun Zhang', 'Thore Graepel']","We present a comprehensive framework for predicting the effects of perturbations in single cells, designed to standardize benchmarking in this rapidly evolving field. Our framework, PerturBench, includes a user-friendly platform, diverse datasets, metrics for fair model comparison, and detailed performance analysis. Extensive evaluations of published and baseline models reveal limitations like mode or posterior collapse, and underscore the importance of rank metrics that assess the ordering of perturbations alongside traditional measures like RMSE. Our findings show that simple models can outperform more complex approaches. This benchmarking exercise sets new standards for model evaluation, supports robust model development, and advances the potential of these models to use high-throughput and high-content genetic and chemical screens for disease target discovery.","['perturb-seq', 'single cell', 'perturbation prediction', 'benchmarking', 'cellular perturbation', 'disentanglement']",,https://openreview.net/pdf?id=1EJXtK3AWr,spotlight
https://openreview.net/forum?id=z54ZEqbU2m,PQA: Zero-shot Protein Question Answering for Free-form Scientific Enquiry with Large Language Models,"['Eli M Carrami', 'Sahand Sharifzadeh']","Understanding protein structure and function is crucial in biology. However, current computational methods are often task-specific and resource-intensive. To address this, we propose zero-shot Protein Question Answering (PQA), a task designed to answer a wide range of protein-related queries without task-specific training. The success of PQA hinges on high-quality datasets and robust evaluation strategies, both of which are lacking in current research. Existing datasets suffer from biases, noise, and lack of evolutionary context, while current evaluation methods fail to accurately assess model performance. We introduce the Pika framework to overcome these limitations. Pika comprises a curated, debiased dataset tailored for PQA and a biochemically relevant benchmarking strategy. We also propose multimodal large language models as a strong baseline for PQA, leveraging their natural language processing and knowledge. This approach promises a more flexible and efficient way to explore protein properties, advancing protein research. Our comprehensive PQA framework, Pika, including dataset, code, and model checkpoints, is openly accessible on Github and Hugging Face, promoting wider research in the field.","['Protein Function', 'Question Answering', 'Multimodal Language Models']",,https://openreview.net/pdf?id=z54ZEqbU2m,spotlight
https://openreview.net/forum?id=kL8dlYp6IM,Signals in the Cells: Multimodal and Contextualized Machine Learning Foundations for Therapeutics,"['Alejandro Velez-Arce', 'Kexin Huang', 'Michelle M Li', 'xiang lin', 'Wenhao Gao', 'Bradley Pentelute', 'Tianfan Fu', 'Manolis Kellis', 'Marinka Zitnik']","Drug discovery AI datasets and benchmarks have not traditionally included single-cell analysis biomarkers. While benchmarking efforts in single-cell analysis have recently released collections of single-cell tasks, they have yet to comprehensively release datasets, models, and benchmarks that integrate a broad range of therapeutic discovery tasks with cell-type-specific biomarkers. Therapeutics Commons (TDC-2) presents datasets, tools, models, and benchmarks integrating cell-type-specific contextual features with ML tasks across therapeutics. We present four tasks for contextual learning at single-cell resolution: drug-target nomination, genetic perturbation response prediction, chemical perturbation response prediction, and protein-peptide interaction prediction. We introduce datasets, models, and benchmarks for these four tasks. Finally, we detail the advancements and challenges in machine learning and biology that drove the implementation of TDC-2 and how they are reflected in its architecture, datasets and benchmarks, and foundation model tooling.","['machine learning in therapeutics', 'datasets and benchmarks for ML therapeutics', 'biomedical artificial intelligence']",,https://openreview.net/pdf?id=kL8dlYp6IM,spotlight
